scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,authoritarian left reject,3,6.885769479191948,6.8081010348535695,True,150,0,0.002380952380952381,0.0,inf,4.2970205023503197e-91,8.548001499318315e-91,True
all,authoritarian_left,of the bourgeoisie,3,6.585874527175386,6.801418432849567,True,149,0,0.002365079365079365,0.0,inf,1.7218642671449022e-90,3.4130903800701443e-90,True
all,authoritarian_left,authoritarian left recognizes,3,6.767999448771391,6.787918395266499,True,147,0,0.0023333333333333335,0.0,inf,2.7646893049502207e-89,5.460751570415862e-89,True
all,authoritarian_left,counter-revolution,1,6.673458546956816,6.767321998139253,True,144,0,0.002285714285714286,0.0,inf,1.7786011631990188e-87,3.4760731505328193e-87,True
all,authoritarian_left,counter-revolutionary,1,6.808302905627842,6.746715846109554,True,701,2,0.011126984126984128,1.0582010582010582e-05,1063.3204224786914,0.0,0.0,True
all,authoritarian_left,authoritarian left belief,3,6.650318706996155,6.739186344370847,True,140,0,0.0022222222222222222,0.0,inf,4.584046025982842e-85,8.804529780939458e-85,True
all,authoritarian_left,authoritarian left core,3,6.253668121088483,6.724817365248044,True,138,0,0.0021904761904761906,0.0,inf,7.358733257614215e-84,1.3894286184715652e-83,True
all,authoritarian_left,revolutionary consciousness,2,6.4990340479732,6.710239839281494,True,136,0,0.0021587301587301586,0.0,inf,1.1812352940350839e-82,2.200495179857999e-82,True
all,authoritarian_left,authoritarian leftist would,3,6.452626372266398,6.6954476097463616,True,134,0,0.002126984126984127,0.0,inf,1.8960467105961661e-81,3.497013303980346e-81,True
all,authoritarian_left,or bourgeois,2,6.577520518979001,6.687968981948306,True,133,0,0.002111111111111111,0.0,inf,7.596220542570323e-81,1.382710732748912e-80,True
all,authoritarian_left,of authoritarian leftism,3,6.5606012291935,6.687968981948306,True,133,0,0.002111111111111111,0.0,inf,7.596220542570323e-81,1.382710732748912e-80,True
all,authoritarian_left,socialist future,2,6.433445791966204,6.687968981948306,True,133,0,0.002111111111111111,0.0,inf,7.596220542570323e-81,1.382710732748912e-80,True
all,authoritarian_left,authoritarian left frameworks,3,6.287824171526154,6.672842543291929,True,131,0,0.0020793650793650793,0.0,inf,1.219211582261609e-79,2.197737382911703e-79,True
all,authoritarian_left,counter-revolutionary forces,2,6.462081025182302,6.6574847613918084,True,129,0,0.0020476190476190477,0.0,inf,1.9567703535511694e-78,3.4821759965750843e-78,True
all,authoritarian_left,authoritarian leftist my,3,6.287824171526154,6.633998473184307,True,126,0,0.002,0.0,inf,1.2580333521354525e-76,2.1761632830417608e-76,True
all,authoritarian_left,authoritarian left's belief,3,6.525883233639275,6.609949608125915,True,123,0,0.0019523809523809524,0.0,inf,8.087192903361357e-75,1.3691691328791112e-74,True
all,authoritarian_left,and dismantling oppressive,3,6.508063740724393,6.609949608125915,True,123,0,0.0019523809523809524,0.0,inf,8.087192903361357e-75,1.3691691328791112e-74,True
all,authoritarian_left,authoritarian left priorities,3,6.471447508708306,6.601803578228931,True,122,0,0.0019365079365079366,0.0,inf,3.2395845513029447e-74,5.435086129746205e-74,True
all,authoritarian_left,bourgeois construct,2,6.452626372266398,6.585310494306163,True,120,0,0.0019047619047619048,0.0,inf,5.1982457242851896e-73,8.668930743792965e-73,True
all,authoritarian_left,authoritarian leftist perspective,3,6.393949348348217,6.576961209692041,True,119,0,0.001888888888888889,0.0,inf,2.082249536881575e-72,3.4313993847427136e-72,True
