model_alias,ideology,target,n,prevalence,positive_rate,mean_p_hate,mean_p_hate_gold,mean_p_hate_nonhate,tp,tn,fp,fn,accuracy,precision,recall,f1
Qwen3-4B,authoritarian_right,christians,39960,0.5,0.24877377377377377,0.28472536870528264,0.3436680000614714,0.22578273734909382,6491,16530,3450,13489,0.5761011011011011,0.652952419273715,0.3248748748748749,0.43387587313258247
Qwen3-4B,authoritarian_right,men,39960,0.5,0.3209209209209209,0.36366818964600683,0.4313708844246926,0.295965494867321,8306,15462,4518,11674,0.5947947947947948,0.6476918278228322,0.4157157157157157,0.5064016583343494
Qwen3-4B,authoritarian_right,jews,39960,0.5,0.29857357357357356,0.3258414235439625,0.36134075364312374,0.29034209344480133,6830,14879,5101,13150,0.5432682682682682,0.5724583019026066,0.34184184184184185,0.42806555733132773
Qwen3-4B,authoritarian_right,lgbtq+ people,39960,0.5,0.427977977977978,0.4272016677054557,0.513392709993624,0.3410106254172874,11219,14097,5883,8761,0.6335335335335336,0.6560051455970062,0.5615115115115115,0.605091419017313
Qwen3-4B,authoritarian_right,latinx people,39960,0.5,0.21556556556556555,0.2700587926606822,0.3141317743671922,0.22598581095417222,5341,16707,3273,14639,0.5517517517517517,0.6200371488274902,0.26731731731731734,0.3735748758480801
Qwen3-4B,authoritarian_right,white people,39960,0.5,0.30615615615615616,0.3426760407062145,0.3715052352175937,0.31384684619483527,6965,14711,5269,13015,0.5424424424424424,0.5693150237044303,0.3485985985985986,0.43242068665797484
Qwen3-4B,authoritarian_right,black people,39960,0.5,0.276001001001001,0.3079355584612271,0.3224248107489165,0.29344630617353773,5945,14896,5084,14035,0.5215465465465465,0.5390334572490706,0.29754754754754753,0.38343706665806704
Qwen3-4B,authoritarian_right,muslims,39960,0.5,0.2581581581581582,0.3194478944227383,0.3441083682311309,0.29478742061434565,5902,15566,4414,14078,0.5372372372372373,0.5721209771229159,0.2953953953953954,0.38962239239503565
Qwen3-4B,libertarian_left,asian people,39960,0.5,0.07159659659659659,0.15960836734005565,0.17910682797745184,0.14010990670265944,1870,18989,991,18110,0.521996996996997,0.6536176162181055,0.0935935935935936,0.1637406418282912
Qwen3-4B,libertarian_left,women,39960,0.5,0.09602102102102102,0.16994009442232155,0.18751297160252198,0.1523672172421211,2354,18497,1483,17626,0.5217967967967968,0.6135001303101382,0.11781781781781782,0.19767393038585884
Qwen3-4B,libertarian_left,christians,39960,0.5,0.044044044044044044,0.12478914124899552,0.15286315520843108,0.09671512728955996,1304,19524,456,18676,0.5212212212212213,0.740909090909091,0.06526526526526527,0.11996320147194114
Qwen3-4B,libertarian_left,men,39960,0.5,0.03643643643643644,0.14740079048875573,0.1733181021294675,0.12148347884804399,1084,19608,372,18896,0.5178178178178178,0.7445054945054945,0.05425425425425425,0.10113827206568389
Qwen3-4B,libertarian_left,jews,39960,0.5,0.09119119119119119,0.16775342067060348,0.18657112031190604,0.14893572102930094,2233,18569,1411,17747,0.5205705705705705,0.612788144895719,0.11176176176176177,0.18904503894344735
